code,type,qid
5t,5,22
6t,6,33
6o,6,35
5oo,5,64
5oo,5,83
5t,5,84
5t,5,89
6ot,6,95
5oo,5,150
6tt,6,177
6oo,6,180
6t,6,188
6o,6,193
5oooooo,5,194
6t,6,196
5oooo,5,199
5o,5,200
5tt,5,201
5t,5,202
5oooooo,5,203
5ooooo,5,206
5oo,5,209
5oo,5,221
6o,6,226
6t,6,229
6ttt,6,235
5t,5,243
5t,5,250
5ooo,5,255
5t,5,256
5oo,5,259
5oooooooo,5,264
5o,5,266
5ooo,5,269
5t,5,270
5o,5,273
5o,5,279
5o,5,280
5oo,5,281
5t,5,283
5o,5,284
5o,5,286
5oo,5,288
5o,5,289
5ooooooo,5,295
5ooooo,5,310
5t,5,312
5t,5,313
5o,5,318
5t,5,320
5o,5,328
5o,5,344
5ooo,5,345
5ooo,5,371
5t,5,373
5t,5,374
5ooo,5,378
53,5,385
5oo,5,396
5o,5,398
5oo,5,401
6o,6,413
6t,6,415
