relation,code,count
of,n,28
of,t,32
of,o,12
of,q,8
of,a,1
of,s,0
of,r,0
of,p,9
of,d,0
in,n,91
in,t,25
in,o,14
in,q,10
in,a,0
in,s,0
in,r,1
in,p,0
in,d,0
within,n,2
within,t,2
within,o,6
within,q,1
within,a,0
within,s,0
within,r,7
within,p,2
within,d,0
for,n,2
for,t,6
for,o,4
for,q,3
for,a,6
for,s,0
for,r,0
for,p,1
for,d,1
by,n,0
by,t,3
by,o,3
by,q,0
by,a,0
by,s,0
by,r,0
by,p,0
by,d,0
per,n,0
per,t,2
per,o,0
per,q,0
per,a,0
per,s,0
per,r,1
per,p,0
per,d,0
