intent,qid,code
trajectory,30,o
condition,59,o
pattern,62,o
impact,65,o
relationship,67,o
need,68,o
effect,74,o
time,75,o
consequences,76,o
flow,82,o
pattern,87,o
flows,88,o
impact,94,o
type,101,o
route,104,o
slope,105,o
relationship,107,o
route,108,o
pattern,110,o
effect,112,o
consequences,113,o
distribution,124,o
distribution,134,o
trend,136,o
family,138,o
rate,139,o
mileage,140,o
rate,141,o
relationship,142,o
relationship,143,o
distribution,145,o
distribution,146,o
trend,147,o
concentration,148,o
rates,152,o
results,153,o
portions,154,o
density,155,o
density,156,o
density,158,o
density,159,o
density,160,o
density,161,o
surface,162,o
concentration,163,o
trends,164,o
relationship,167,o
relationship,170,o
acreage,174,o
breakdown,179,o
boundaries,181,o
percentage,184,o
relationship,189,o
spread,197,o
density,211,o
connectivity,212,o
mix,213,o
bikeability,214,o
density,215,o
separation,216,o
bicycle,217,o
bicycle,218,o
density,219,o
impact,222,o
accessibility,224,o
population,233,o
emission,236,o
emission,237,o
access,240,o
density,241,o
factors,245,o
factors,246,o
distribution,248,o
factors,249,o
accessibility,251,o
influence,254,o
access,257,o
accessibility,260,o
impact,262,o
pattern,263,o
patterns,267,o
relationship,272,o
accessibility,274,o
changes,275,o
factors,276,o
impact,278,o
effect,282,o
effect,285,o
distribution,291,o
correlation,294,o
ratio,297,o
ratio,298,o
number,299,o
ratio,300,o
structure,301,o
times,302,o
effect,305,o
accessibility,306,o
level,308,o
volumes,309,o
trends,314,o
difference,316,o
pattern,324,o
effects,326,o
accessibility,329,o
distribution,330,o
change,334,o
changes,335,o
changes,336,o
changes,337,o
distribution,338,o
pattern,340,o
relationships,341,o
relationships,342,o
pattern,343,o
behavior,351,o
behavior,352,o
pattern,353,o
relationship,354,o
patterns,355,o
differences,356,o
effect,357,o
autocorrelation,360,o
distribution,361,o
relationships,364,o
differences,367,o
characteristics,368,o
methods,377,o
characteristics,380,o
pattern,382,o
relationships,383,o
changes,386,o
trends,387,o
distribution,388,o
variations,392,o
impacts,393,o
pattern,394,o
patterns,395,o
potential,397,o
changes,400,o
distribution,403,o
risk,404,o
association,408,o
impact,410,o
impact,411,o
exposure,412,o
types,417,o
walkability,419,o
accessibility,421,o
distribution,424,o
parties,123,o
pipes,176,o
owners,187,o
trends,325,o
industries,384,o
factors,402,o
use,427,o
locations,18,t
locations,23,t
site,66,t
areas,119,t
locations,120,t
areas,157,t
zones,185,t
zone,186,t
zones,192,t
areas,207,t
land,213,t
region,216,t
streets,217,t
region,218,t
sites,239,t
houses,3,t
houses,4,t
houses,5,t
houses,6,t
houses,7,t
houses,8,t
buildings,24,t
buildings,25,t
schools,26,t
buildings,34,t
areas,37,t
areas,38,t
areas,39,t
areas,40,t
areas,41,t
areas,42,t
areas,51,t
areas,52,t
areas,53,t
areas,54,t
areas,55,t
areas,56,t
areas,57,t
facilities,111,t
locations,117,t
intersections,144,t
areas,165,t
areas,195,t
areas,208,t
areas,350,t
areas,416,t
parcels,428,t
